epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.16704009473323822,0.16703499853610992,0.09557738900184631,0.952734112739563,0.6682491898536682,0.0634411871433258,0.06343891471624374,0.033053942024707794,0.9724288582801819,1.0502395629882812
1,0.5561495423316956,0.5561404228210449,0.41148313879966736,0.9704593420028687,0.49134305119514465,0.0598747581243515,0.05987274646759033,0.031198564916849136,0.9999814629554749,2.3860270977020264
2,0.7016922235488892,0.701684296131134,0.5767542123794556,0.9757286310195923,0.4082537293434143,0.11745328456163406,0.11744949221611023,0.0636335089802742,0.9986908435821533,1.172930121421814
3,0.7779130339622498,0.7779058814048767,0.6652736067771912,0.9767007827758789,0.37001851201057434,0.20043638348579407,0.20043034851551056,0.11624664813280106,0.9858322143554688,0.6254748106002808
4,0.7891863584518433,0.7891789078712463,0.6979809403419495,0.9417445063591003,0.35446643829345703,0.3096252381801605,0.30961668491363525,0.19762304425239563,0.9556372165679932,0.4804362654685974
5,0.805940568447113,0.8059338927268982,0.7175144553184509,0.9624060988426208,0.3354348838329315,0.40558910369873047,0.40557336807250977,0.3106623888015747,0.6671658754348755,0.3572533428668976
6,0.8429615497589111,0.8429559469223022,0.7584341764450073,0.9731172919273376,0.31136611104011536,0.6950753927230835,0.6950665712356567,0.5959820747375488,0.946374237537384,0.25603431463241577
7,0.8599808812141418,0.8599757552146912,0.7812779545783997,0.9754416942596436,0.2894580364227295,0.711197018623352,0.7111879587173462,0.6433762907981873,0.9206053614616394,0.20095697045326233
8,0.8572615385055542,0.857256293296814,0.7767723798751831,0.9758329391479492,0.2702094614505768,0.7681350111961365,0.7681270241737366,0.7040799260139465,0.9293490648269653,0.15634453296661377
9,0.8587503433227539,0.8587450385093689,0.7773345112800598,0.9760048985481262,0.25163838267326355,0.7902069687843323,0.7901995778083801,0.764725387096405,0.9058438539505005,0.1180301085114479
10,0.8624438643455505,0.8624387383460999,0.7813119292259216,0.9763827919960022,0.23476020991802216,0.782964289188385,0.7829566597938538,0.7718363404273987,0.8933371305465698,0.10474541783332825
11,0.8650004267692566,0.8649954199790955,0.7864329814910889,0.9743115305900574,0.2213822305202484,0.7954457402229309,0.7954384684562683,0.7934497594833374,0.8920469284057617,0.09177123755216599
12,0.8709949851036072,0.8709901571273804,0.7954251766204834,0.9748063683509827,0.20834395289421082,0.7986046671867371,0.7985975742340088,0.7651668787002563,0.9147822856903076,0.0956440269947052
13,0.8722012042999268,0.872196614742279,0.8020063638687134,0.9710042476654053,0.19957804679870605,0.7939708232879639,0.7939634919166565,0.7194317579269409,0.9470363259315491,0.10506877303123474
14,0.8716322183609009,0.8716272711753845,0.8051384687423706,0.9662380814552307,0.1900249570608139,0.8207168579101562,0.8207103610038757,0.7872642278671265,0.9223303198814392,0.07821380347013474
15,0.8854103088378906,0.885405957698822,0.8223394155502319,0.9712460041046143,0.1763084977865219,0.8391298055648804,0.8391239643096924,0.8336988091468811,0.9032978415489197,0.06735207885503769
16,0.8988497853279114,0.8988457918167114,0.8402787446975708,0.9747792482376099,0.1634913831949234,0.8273364305496216,0.8273302316665649,0.8312695622444153,0.8925402760505676,0.06782646477222443
17,0.9062716960906982,0.9062681198120117,0.8534170389175415,0.9732844829559326,0.15219682455062866,0.8460618257522583,0.8460562229156494,0.8519281148910522,0.8932667970657349,0.062409136444330215
18,0.9101368188858032,0.9101333618164062,0.8547278046607971,0.9802213907241821,0.14313814043998718,0.8333514332771301,0.8333454728126526,0.8620328307151794,0.8726601600646973,0.0635768249630928
19,0.913899302482605,0.9138960242271423,0.8652878403663635,0.9745998978614807,0.13606859743595123,0.8091963529586792,0.8091896176338196,0.7752508521080017,0.9171269536018372,0.08014515042304993
20,0.9070125222206116,0.9070088863372803,0.8581482768058777,0.9717668294906616,0.14023961126804352,0.7911683320999146,0.7911610007286072,0.7689684629440308,0.9008963108062744,0.0855792835354805
21,0.9082337617874146,0.9082302451133728,0.8688600063323975,0.9628582000732422,0.1306745409965515,0.829470694065094,0.8294641971588135,0.7995341420173645,0.9050528407096863,0.060392115265131
22,0.9115070700645447,0.9115035533905029,0.8681451082229614,0.9680299758911133,0.12236325442790985,0.8452735543251038,0.8452678918838501,0.8738267421722412,0.8731673359870911,0.0587211512029171
23,0.915787398815155,0.9157840013504028,0.8717226386070251,0.9703524708747864,0.11581378430128098,0.7547135949134827,0.7547046542167664,0.729421854019165,0.8410429358482361,0.07208522409200668
24,0.9303578734397888,0.9303550720214844,0.8941586017608643,0.9744167923927307,0.1108810156583786,0.8087612390518188,0.8087543845176697,0.8005729913711548,0.8929229378700256,0.07563305646181107
25,0.9333842396736145,0.9333814978599548,0.9014942646026611,0.9720346927642822,0.1063447818160057,0.80936598777771,0.8093591332435608,0.791705846786499,0.9049948453903198,0.08348549902439117
26,0.9280146956443787,0.9280118346214294,0.8948043584823608,0.9687733054161072,0.10165397822856903,0.8028267621994019,0.8028197884559631,0.7444734573364258,0.9380559921264648,0.09881749749183655
27,0.9288043975830078,0.9288015365600586,0.895776093006134,0.9680929183959961,0.09910431504249573,0.818665087223053,0.8186584711074829,0.7652638554573059,0.9373960494995117,0.0864638090133667
28,0.9295593500137329,0.9295565485954285,0.89937424659729,0.9656371474266052,0.0954626128077507,0.7918235063552856,0.7918161749839783,0.7214967012405396,0.9478136897087097,0.10404828190803528
29,0.9276748299598694,0.9276717901229858,0.8978226184844971,0.9634354114532471,0.09652049094438553,0.8063589334487915,0.8063519597053528,0.7571262717247009,0.9299315214157104,0.08873685449361801
30,0.9320358633995056,0.9320333003997803,0.9043395519256592,0.9651837944984436,0.08893503248691559,0.7959879636764526,0.7959807515144348,0.7436344623565674,0.931036114692688,0.09091541171073914
