epoch,accuracy,dice,loss,val_accuracy,val_dice,val_loss
0,0.8685712814331055,0.118712417781353,0.4968419671058655,0.9059523940086365,0.31379517912864685,0.43247851729393005
1,0.9314215779304504,0.1606958508491516,0.42076992988586426,0.9454614520072937,0.1950988918542862,0.3780863881111145
2,0.9419159293174744,0.17607839405536652,0.402936190366745,0.9488112330436707,0.20646058022975922,0.3727707266807556
3,0.9479054808616638,0.19235537946224213,0.3939167559146881,0.9399929642677307,0.19103652238845825,0.38243329524993896
4,0.9533735513687134,0.20253285765647888,0.3853844702243805,0.9393149018287659,0.1869972199201584,0.3826238811016083
5,0.9583738446235657,0.21656033396720886,0.378092497587204,0.9566534161567688,0.2403208613395691,0.3655758500099182
6,0.9608325362205505,0.22364544868469238,0.3737608790397644,0.9476900696754456,0.22735129296779633,0.37600624561309814
7,0.9644712209701538,0.2308589667081833,0.36853739619255066,0.9455512166023254,0.2360464185476303,0.3830275237560272
8,0.9666455984115601,0.24092121422290802,0.3647839426994324,0.9669967293739319,0.2375815510749817,0.35833460092544556
9,0.9677383303642273,0.2449004203081131,0.3628610372543335,0.9713678359985352,0.18119847774505615,0.35146191716194153
10,0.9664972424507141,0.24159495532512665,0.363707572221756,0.9676706790924072,0.2956083118915558,0.35629162192344666
11,0.9723396301269531,0.26002153754234314,0.35664352774620056,0.969390332698822,0.28489282727241516,0.3544900715351105
12,0.9750242829322815,0.270231693983078,0.35283470153808594,0.9687200784683228,0.2719534933567047,0.3546551465988159
13,0.9764516353607178,0.2773362696170807,0.35075873136520386,0.9616737961769104,0.15612168610095978,0.36092743277549744
14,0.9778775572776794,0.2834513783454895,0.3485333323478699,0.9663218855857849,0.11679034680128098,0.35592135787010193
15,0.9776690602302551,0.2843761444091797,0.34849298000335693,0.9226298928260803,0.20895054936408997,0.3987632691860199
