epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.09762369096279144,0.09761480242013931,0.061201032251119614,0.5951536297798157,0.6647078990936279,0.3086772859096527,0.3086087107658386,0.2641489505767822,0.5504953265190125,0.55580735206604
1,0.3106708526611328,0.3106347322463989,0.2598564326763153,0.5468391180038452,0.4945474863052368,0.2782966196537018,0.27811068296432495,0.37683600187301636,0.35266777873039246,0.357034832239151
2,0.4139479398727417,0.4138529896736145,0.37494704127311707,0.5430479645729065,0.36012881994247437,0.2742098867893219,0.27324193716049194,0.4229309558868408,0.2675929069519043,0.279573917388916
3,0.4414737820625305,0.44133612513542175,0.41439342498779297,0.5409417748451233,0.2899596691131592,0.03113534301519394,0.025198714807629585,0.18298889696598053,0.01570183038711548,0.19397982954978943
