epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.19875098764896393,0.19874508678913116,0.11705359071493149,0.9259697794914246,0.6500035524368286,0.03182791545987129,0.03182681277394295,0.016249213367700577,1.0,10.131290435791016
1,0.5965105295181274,0.5965011119842529,0.4652353525161743,0.93013596534729,0.45258384943008423,0.04218823090195656,0.042186785489320755,0.021705007180571556,1.0,6.387192726135254
2,0.7195592522621155,0.7195510864257812,0.6120923757553101,0.9439153075218201,0.392990380525589,0.05800629407167435,0.05800429359078407,0.030124077573418617,0.9999868869781494,4.214395523071289
3,0.7768755555152893,0.7768682241439819,0.6884955167770386,0.9395695924758911,0.3571840822696686,0.10851748287677765,0.10851391404867172,0.058461181819438934,0.9980452656745911,1.8744926452636719
4,0.7958417534828186,0.7958347797393799,0.7126613259315491,0.9432612061500549,0.32856783270835876,0.3611595332622528,0.3611511290073395,0.23499523103237152,0.9881129860877991,0.7561861276626587
5,0.8007323741912842,0.8007258176803589,0.720307469367981,0.9521162509918213,0.30802682042121887,0.5473517775535583,0.5473423004150391,0.4135152995586395,0.9619069695472717,0.40535640716552734
6,0.8242288827896118,0.8242226839065552,0.7404054999351501,0.9629802703857422,0.2818314731121063,0.5725494027137756,0.5725398659706116,0.43758881092071533,0.9726378321647644,0.3495219945907593
7,0.8375148773193359,0.8375089168548584,0.7541325688362122,0.967050313949585,0.2569933831691742,0.4905128479003906,0.49050411581993103,0.3531036078929901,0.9983968734741211,0.5266592502593994
8,0.8460255265235901,0.8460200428962708,0.7671326398849487,0.9673470258712769,0.23465818166732788,0.5824840068817139,0.5824751257896423,0.44388875365257263,0.9920613169670105,0.3429669141769409
9,0.8564122915267944,0.8564068675041199,0.7791193723678589,0.9719919562339783,0.21388481557369232,0.7340990900993347,0.7340912222862244,0.6609728336334229,0.94245845079422,0.12786464393138885
