epoch,dice,fg_f1,fg_precision,fg_recall,loss,val_dice,val_fg_f1,val_fg_precision,val_fg_recall,val_loss
0,0.04858490079641342,0.048583172261714935,0.02511705830693245,0.9431119561195374,0.7175369262695312,0.04290241748094559,0.042900845408439636,0.022037863731384277,0.9781491756439209,0.7552456855773926
1,0.18318088352680206,0.18317554891109467,0.10374432057142258,0.9837631583213806,0.6006293296813965,0.045497700572013855,0.04549611359834671,0.023427078500390053,0.999984085559845,0.8578343391418457
2,0.34936997294425964,0.349361389875412,0.22232073545455933,0.962531328201294,0.5310505628585815,0.06069350242614746,0.06069140136241913,0.03153003379702568,0.9999937415122986,0.7235254049301147
3,0.4874351918697357,0.4874257743358612,0.33884960412979126,0.9815534353256226,0.4943182170391083,0.09643766283988953,0.09643438458442688,0.05127451941370964,0.9914242625236511,0.5877992510795593
4,0.5753284096717834,0.5753187537193298,0.42261335253715515,0.9799498915672302,0.4642222821712494,0.1526128649711609,0.15260718762874603,0.084892138838768,0.8992387056350708,0.4801315665245056
5,0.6409717798233032,0.640962541103363,0.490104615688324,0.9850472211837769,0.4323675334453583,0.26242291927337646,0.2624130845069885,0.1645548790693283,0.7851346731185913,0.3868659436702728
6,0.6928292512893677,0.6928206086158752,0.5513381958007812,0.9822699427604675,0.4097232222557068,0.35996341705322266,0.3599500358104706,0.2641785442829132,0.6850178241729736,0.3191215991973877
7,0.7358765006065369,0.7358683943748474,0.6021513938903809,0.983054518699646,0.3873268961906433,0.5802717208862305,0.5802578926086426,0.5466342568397522,0.6945025324821472,0.24664942920207977
8,0.7624729871749878,0.7624653577804565,0.633445143699646,0.9858474135398865,0.3581291437149048,0.6473689675331116,0.6473516225814819,0.6710355281829834,0.7202591300010681,0.19619318842887878
9,0.7844048738479614,0.784397542476654,0.6625591516494751,0.9845870733261108,0.3385746479034424,0.7617036700248718,0.761695384979248,0.6953815817832947,0.9156269431114197,0.1743149310350418
10,0.7945236563682556,0.7945168018341064,0.6789774298667908,0.9812094569206238,0.32248619198799133,0.7628203630447388,0.7628122568130493,0.6976937055587769,0.9200878143310547,0.1554921269416809
11,0.7993670701980591,0.7993603348731995,0.6908095479011536,0.975580632686615,0.3074040412902832,0.6860114336013794,nan,0.7176187634468079,0.7234991788864136,0.12343461066484451
12,0.8199858069419861,0.8199794292449951,0.7188277840614319,0.9737217426300049,0.289713591337204,0.807096004486084,0.8070887923240662,0.78231281042099,0.8934920430183411,0.11423231661319733
13,0.8073503971099854,0.8073438405990601,0.7021846771240234,0.9759430289268494,0.2757466435432434,0.8136604428291321,0.8136537075042725,0.7586043477058411,0.9341485500335693,0.10736045241355896
